,Region,0,1,2
0,0,22,7,13
1,1,35,30,5
2,2,3,16,14
3,3,20,32,28
4,4,57,41,70
5,5,24,18,35
6,6,48,45,54
7,7,47,34,57
8,8,3,0,0
9,9,18,42,44
10,10,51,75,33
11,11,5,2,1
12,12,2,6,1
13,13,8,9,7
14,14,0,1,2
15,15,58,10,53
16,16,47,10,45
17,17,18,14,10
18,18,15,2,5
19,19,8,2,4
20,20,17,27,67
21,21,4,11,3
22,22,13,5,20
23,23,16,14,39
24,24,17,14,29
25,25,2,12,4
26,26,86,151,70
27,27,3,1,11
28,28,46,25,61
29,29,9,5,18
30,30,5,6,8
31,31,148,162,118
32,32,11,14,10
33,33,4,2,16
34,34,36,6,45
35,35,13,6,6
36,36,33,37,7
37,37,33,44,47
38,38,3,22,13
39,39,86,85,18
40,40,7,12,19
41,41,26,52,20
42,42,134,76,88
43,43,100,79,99
44,44,4,15,4
45,45,77,31,18
46,46,8,6,16
47,47,36,36,27
48,48,7,15,22
49,49,79,56,72
50,50,29,17,44
51,51,15,23,16
52,52,7,17,11
53,53,21,20,25
54,54,16,11,15
55,55,93,78,50
56,56,57,95,19
57,57,12,5,17
58,58,0,0,0
59,59,19,9,5
60,60,7,14,35
61,61,19,15,25
62,62,18,12,2
63,63,6,8,5
64,64,26,12,12
65,65,7,54,17
66,66,62,46,58
67,67,37,49,41
68,68,25,14,22
69,69,3,9,5
70,70,0,0,1
71,71,9,7,6
72,72,28,12,55
73,73,28,34,17
74,74,52,78,50
75,75,4,3,2
76,76,6,6,9
77,77,10,21,18
78,78,58,281,72
79,79,36,29,31
80,80,5,25,5
81,81,19,9,25
82,82,10,15,13
83,83,33,24,10
84,84,10,13,13
85,85,55,43,19
86,86,6,32,16
87,87,61,69,58
88,88,16,19,10
89,89,46,35,50
90,90,21,41,12
91,91,4,4,1
92,92,38,55,133
93,93,37,81,96
94,94,42,40,16
95,95,13,22,32
96,96,12,1,3
97,97,9,14,37
98,98,30,33,41
99,99,0,0,0
100,100,8,3,9
101,101,57,55,50
102,102,18,8,5
103,103,27,9,10
104,104,40,50,21
105,105,25,65,23
106,106,6,12,5
107,107,2,1,2
108,108,8,7,5
109,109,24,11,7
110,110,3,1,3
111,111,21,10,8
112,112,0,3,2
113,113,2,1,0
114,114,17,21,11
115,115,59,27,31
116,116,11,10,10
117,117,41,32,8
118,118,7,15,4
119,119,9,8,1
120,120,5,12,5
121,121,78,13,98
122,122,23,49,25
123,123,2,8,11
124,124,3,1,3
125,125,32,10,18
126,126,22,15,21
127,127,12,2,10
128,128,19,20,55
129,129,34,22,35
130,130,24,6,29
131,131,2,4,7
132,132,81,52,48
133,133,4,28,16
134,134,29,9,7
135,135,9,12,4
136,136,26,39,32
137,137,1,1,0
138,138,4,9,12
139,139,10,22,23
140,140,70,38,48
141,141,2,15,3
142,142,22,14,10
143,143,15,36,11
144,144,56,42,37
145,145,54,31,71
146,146,13,27,21
147,147,78,77,84
148,148,10,16,14
149,149,10,10,12
150,150,12,9,6
151,151,17,7,3
152,152,4,10,12
153,153,41,10,34
154,154,60,20,26
155,155,0,0,0
156,156,8,17,14
157,157,3,12,15
158,158,43,14,15
159,159,9,8,4
160,160,10,13,12
161,161,15,6,24
162,162,7,28,18
163,163,40,32,27
164,164,0,0,0
165,165,6,9,9
166,166,54,32,28
167,167,11,20,5
168,168,46,13,24
169,169,5,4,10
170,170,25,23,22
171,171,19,39,17
172,172,5,6,4
173,173,12,27,6
174,174,27,8,18
175,175,31,11,18
176,176,18,21,19
177,177,14,14,11
178,178,4,3,7
179,179,27,105,122
180,180,12,28,15
181,181,13,49,55
182,182,5,32,11
183,183,34,13,29
184,184,3,0,5
185,185,9,17,15
186,186,1,0,2
187,187,10,9,5
188,188,17,25,2
189,189,1,0,1
190,190,4,2,1
191,191,20,11,2
192,192,5,6,22
193,193,55,73,62
194,194,0,4,1
195,195,7,7,8
196,196,2,3,5
197,197,3,16,18
198,198,6,3,2
199,199,12,7,6
200,200,8,1,13
201,201,56,23,24
202,202,5,2,6
203,203,24,20,16
204,204,69,51,49
205,205,25,14,79
206,206,7,7,2
207,207,40,13,9
208,208,30,13,18
209,209,37,28,22
210,210,111,33,82
211,211,12,49,49
212,212,74,88,63
213,213,19,28,16
214,214,34,37,23
215,215,38,24,39
216,216,17,16,26
217,217,49,26,11
218,218,20,12,11
219,219,23,35,19
220,220,15,3,11
221,221,7,6,6
222,222,111,116,31
223,223,3,15,3
224,224,16,7,16
225,225,1,0,0
226,226,55,12,16
227,227,28,21,20
228,228,31,9,24
229,229,43,17,12
230,230,22,10,38
