,Region,0,1,2,3,4
0,0,2,5,11,6,8
1,1,21,27,13,14,46
2,2,9,11,20,11,16
3,3,17,24,14,42,8
4,4,83,26,32,27,17
5,5,7,5,18,34,19
6,6,34,28,26,26,46
7,7,32,23,42,18,27
8,8,6,2,3,2,0
9,9,10,36,27,26,11
10,10,57,35,70,16,23
11,11,1,2,1,0,0
12,12,14,10,7,5,8
13,13,14,5,8,5,5
14,14,1,3,1,0,2
15,15,39,11,45,16,36
16,16,25,18,27,20,22
17,17,11,6,5,12,4
18,18,12,19,8,7,18
19,19,2,3,1,2,4
20,20,9,49,95,24,60
21,21,8,3,10,9,9
22,22,16,12,18,26,11
23,23,8,9,26,25,11
24,24,58,23,38,44,11
25,25,8,30,26,24,11
26,26,59,68,121,134,137
27,27,12,3,12,7,11
28,28,17,20,22,18,27
29,29,29,28,30,13,25
30,30,10,22,13,4,20
31,31,179,258,100,133,203
32,32,18,9,8,10,3
33,33,2,25,0,12,20
34,34,33,15,22,19,8
35,35,2,2,8,2,4
36,36,24,8,19,28,31
37,37,16,22,39,27,8
38,38,15,17,19,18,4
39,39,19,35,42,18,29
40,40,25,18,4,20,10
41,41,12,87,32,17,61
42,42,83,93,18,44,28
43,43,117,92,85,87,27
44,44,20,20,20,8,3
45,45,35,15,22,33,34
46,46,15,25,16,9,10
47,47,12,7,9,10,25
48,48,10,3,10,4,5
49,49,49,31,25,7,58
50,50,16,18,26,23,11
51,51,14,2,13,7,6
52,52,3,8,15,0,1
53,53,28,29,17,23,28
54,54,13,16,3,18,11
55,55,35,48,89,96,106
56,56,83,103,111,50,82
57,57,17,16,13,12,12
58,58,0,0,0,1,0
59,59,12,2,5,4,1
60,60,33,38,8,20,26
61,61,28,42,13,23,24
62,62,18,20,25,13,8
63,63,2,11,10,4,8
64,64,3,5,12,8,15
65,65,63,49,14,51,51
66,66,29,56,83,64,29
67,67,24,15,12,50,19
68,68,15,15,6,5,18
69,69,8,2,2,4,2
70,70,1,0,1,0,1
71,71,2,3,4,3,2
72,72,21,13,33,37,20
73,73,28,38,19,32,31
74,74,41,32,69,42,67
75,75,1,5,0,3,6
76,76,0,8,3,6,8
77,77,6,14,21,14,30
78,78,285,163,290,247,60
79,79,22,7,17,18,11
80,80,4,4,19,18,10
81,81,12,26,22,8,19
82,82,16,10,13,19,17
83,83,9,10,10,14,6
84,84,18,37,34,14,40
85,85,81,63,15,64,79
86,86,14,5,31,44,12
87,87,60,68,28,43,37
88,88,5,11,20,20,9
89,89,29,21,35,49,39
90,90,27,11,6,35,24
91,91,2,1,4,3,3
92,92,181,169,38,58,130
93,93,103,61,71,141,87
94,94,15,33,16,21,15
95,95,45,47,22,33,15
96,96,16,4,3,9,3
97,97,18,36,18,14,42
98,98,13,44,34,9,23
99,99,0,0,0,0,0
100,100,24,29,36,34,33
101,101,58,33,60,21,20
102,102,19,18,14,9,14
103,103,33,18,13,19,25
104,104,39,27,18,21,51
105,105,33,17,14,47,54
106,106,2,2,6,1,8
107,107,1,3,1,3,4
108,108,8,12,4,24,6
109,109,16,18,17,19,12
110,110,0,3,0,0,4
111,111,5,5,8,7,5
112,112,8,2,6,1,1
113,113,11,9,8,7,9
114,114,4,3,10,7,7
115,115,112,88,89,77,34
116,116,10,7,14,14,7
117,117,15,49,70,23,10
118,118,6,17,27,3,27
119,119,5,6,8,5,9
120,120,5,5,5,3,10
121,121,72,27,55,87,74
122,122,47,29,58,43,29
123,123,6,7,8,12,11
124,124,2,4,10,7,5
125,125,18,24,15,24,23
126,126,28,22,18,11,20
127,127,7,4,13,16,13
128,128,10,11,17,26,44
129,129,46,25,37,23,48
130,130,31,12,23,13,5
131,131,18,7,23,6,27
132,132,76,40,24,60,11
133,133,3,23,24,19,7
134,134,21,5,9,9,10
135,135,20,20,9,22,9
136,136,32,35,20,55,27
137,137,0,0,0,0,0
138,138,17,15,13,14,12
139,139,12,38,33,18,20
140,140,35,55,29,66,28
141,141,7,2,24,25,12
142,142,22,3,16,27,9
143,143,15,25,47,17,96
144,144,69,16,17,53,37
145,145,54,64,68,78,52
146,146,7,24,6,22,17
147,147,84,65,84,42,66
148,148,10,10,16,21,19
149,149,2,2,2,4,12
150,150,4,13,11,10,9
151,151,13,8,9,17,9
152,152,10,10,9,8,16
153,153,25,34,18,45,39
154,154,36,17,66,54,14
155,155,0,0,0,0,0
156,156,15,16,2,5,8
157,157,1,12,5,15,13
158,158,6,44,31,24,9
159,159,9,10,2,2,3
160,160,20,7,3,17,9
161,161,17,22,10,14,18
162,162,18,7,9,6,16
163,163,33,29,45,69,99
164,164,0,0,0,0,0
165,165,7,18,9,24,5
166,166,45,13,60,31,25
167,167,11,13,11,7,12
168,168,6,54,4,9,27
169,169,11,8,2,5,13
170,170,6,46,19,12,39
171,171,23,43,55,15,34
172,172,1,3,12,9,8
173,173,30,8,25,30,30
174,174,35,17,23,22,36
175,175,27,7,32,26,35
176,176,3,14,12,14,7
177,177,19,14,3,16,19
178,178,8,17,7,18,17
179,179,43,79,31,86,122
180,180,29,4,23,19,11
181,181,64,17,19,74,17
182,182,46,30,19,11,10
