,Region,Count,Budget brands,Name brands
0,0,46,18.0,6.0
1,1,80,21.0,9.0
2,2,27,19.0,7.0
3,3,79,24.0,13.0
4,4,44,23.0,9.0
5,5,81,43.0,3.0
6,6,69,37.0,12.0
7,7,136,45.0,52.0
8,8,11,3.0,1.0
9,9,75,49.0,26.0
10,10,120,52.0,34.0
11,11,8,3.0,1.0
12,12,14,7.0,4.0
13,13,28,10.0,7.0
14,14,5,2.0,1.0
15,15,90,34.0,9.0
16,16,123,62.0,29.0
17,17,14,8.0,4.0
18,18,23,7.0,2.0
19,19,11,6.0,2.0
20,20,338,81.0,66.0
21,21,27,13.0,2.0
22,22,41,22.0,17.0
23,23,84,20.0,10.0
24,24,101,53.0,4.0
25,25,40,19.0,7.0
26,26,286,172.0,15.0
27,27,17,5.0,5.0
28,28,77,24.0,1.0
29,29,67,32.0,25.0
30,30,46,18.0,12.0
31,31,349,103.0,85.0
32,32,29,8.0,8.0
33,33,45,26.0,3.0
34,34,79,30.0,18.0
35,35,10,7.0,4.0
36,36,69,35.0,18.0
37,37,72,27.0,9.0
38,38,34,20.0,7.0
39,39,168,96.0,20.0
40,40,75,42.0,10.0
41,41,365,166.0,80.0
42,42,218,149.0,48.0
43,43,249,86.0,59.0
44,44,38,8.0,1.0
45,45,202,134.0,29.0
46,46,42,28.0,5.0
47,47,94,62.0,26.0
48,48,44,28.0,1.0
49,49,98,53.0,11.0
50,50,104,25.0,31.0
51,51,33,14.0,11.0
52,52,23,14.0,1.0
53,53,73,51.0,25.0
54,54,61,29.0,22.0
55,55,313,85.0,12.0
56,56,309,102.0,110.0
57,57,99,39.0,25.0
58,58,3,2.0,1.0
59,59,25,17.0,4.0
60,60,102,61.0,4.0
61,61,111,78.0,35.0
62,62,83,53.0,20.0
63,63,19,13.0,1.0
64,64,37,24.0,3.0
65,65,117,82.0,30.0
66,66,171,100.0,42.0
67,67,70,17.0,21.0
68,68,45,28.0,17.0
69,69,24,14.0,1.0
70,70,6,3.0,1.0
71,71,10,4.0,3.0
72,72,125,64.0,9.0
73,73,92,60.0,6.0
74,74,170,68.0,29.0
75,75,9,3.0,1.0
76,76,50,12.0,3.0
77,77,41,29.0,9.0
78,78,364,119.0,95.0
79,79,113,35.0,36.0
80,80,47,25.0,8.0
81,81,29,17.0,5.0
82,82,39,17.0,8.0
83,83,62,33.0,19.0
84,84,74,50.0,21.0
85,85,173,94.0,14.0
86,86,60,23.0,8.0
87,87,116,59.0,25.0
88,88,79,25.0,30.0
89,89,94,41.0,19.0
90,90,50,30.0,6.0
91,91,5,4.0,2.0
92,92,814,198.0,189.0
93,93,311,144.0,44.0
94,94,128,39.0,12.0
95,95,145,48.0,52.0
96,96,52,31.0,17.0
97,97,67,45.0,12.0
98,98,75,27.0,9.0
99,99,2,2.0,1.0
100,100,69,38.0,9.0
101,101,125,58.0,4.0
102,102,52,27.0,19.0
103,103,74,16.0,7.0
104,104,99,58.0,28.0
105,105,108,43.0,8.0
106,106,57,14.0,21.0
107,107,6,3.0,1.0
108,108,42,20.0,7.0
109,109,45,23.0,12.0
110,110,18,9.0,3.0
111,111,41,27.0,12.0
112,112,14,4.0,6.0
113,113,13,5.0,4.0
114,114,61,18.0,12.0
115,115,138,48.0,23.0
116,116,23,13.0,8.0
117,117,112,31.0,14.0
118,118,37,26.0,15.0
119,119,43,13.0,17.0
120,120,23,16.0,1.0
121,121,184,91.0,51.0
122,122,87,54.0,11.0
123,123,32,18.0,13.0
124,124,12,7.0,1.0
125,125,119,78.0,10.0
126,126,48,22.0,8.0
127,127,23,10.0,4.0
128,128,99,54.0,13.0
129,129,161,86.0,14.0
130,130,46,16.0,7.0
131,131,47,32.0,5.0
132,132,275,175.0,25.0
133,133,63,39.0,16.0
134,134,46,32.0,11.0
135,135,35,18.0,5.0
136,136,187,85.0,45.0
137,137,3,2.0,1.0
138,138,24,11.0,7.0
139,139,41,16.0,4.0
140,140,122,33.0,47.0
141,141,41,15.0,9.0
142,142,51,22.0,10.0
143,143,298,70.0,2.0
144,144,134,72.0,39.0
145,146,169,60.0,28.0
146,147,70,26.0,4.0
147,148,151,76.0,49.0
148,149,58,32.0,5.0
149,150,34,9.0,10.0
150,151,26,15.0,1.0
151,152,21,12.0,7.0
152,153,88,55.0,4.0
153,154,88,53.0,12.0
154,155,155,80.0,52.0
155,157,13,9.0,1.0
156,158,39,15.0,5.0
157,159,89,24.0,23.0
158,160,27,19.0,8.0
159,161,63,28.0,6.0
160,162,113,35.0,19.0
161,163,31,17.0,12.0
162,164,150,60.0,29.0
163,165,1,1.0,1.0
164,166,30,8.0,2.0
165,167,133,32.0,16.0
166,168,69,32.0,25.0
167,169,94,28.0,21.0
168,170,16,9.0,5.0
169,171,158,40.0,17.0
170,172,71,21.0,23.0
171,173,10,6.0,3.0
172,174,53,30.0,9.0
173,175,54,22.0,6.0
174,176,223,113.0,23.0
175,177,65,37.0,15.0
176,178,30,17.0,8.0
177,179,26,14.0,7.0
178,180,231,133.0,62.0
179,181,54,27.0,4.0
180,182,229,90.0,66.0
181,183,71,41.0,23.0
182,184,50,33.0,15.0
183,185,35,8.0,1.0
184,186,52,31.0,19.0
185,187,11,3.0,3.0
186,188,16,6.0,3.0
187,189,35,16.0,12.0
188,190,5,3.0,1.0
189,191,17,9.0,3.0
190,192,62,40.0,3.0
191,193,34,8.0,8.0
192,194,112,41.0,36.0
193,195,4,2.0,2.0
194,196,30,15.0,2.0
195,197,8,4.0,3.0
196,198,34,18.0,13.0
197,199,26,9.0,3.0
198,200,39,22.0,6.0
199,201,31,10.0,9.0
200,202,260,113.0,91.0
201,203,29,15.0,5.0
202,204,27,13.0,6.0
203,205,118,28.0,10.0
204,206,290,101.0,110.0
205,207,19,12.0,6.0
206,208,72,26.0,15.0
207,209,53,11.0,3.0
208,210,103,40.0,39.0
209,211,164,54.0,26.0
210,212,89,23.0,31.0
211,213,169,70.0,20.0
212,214,111,53.0,4.0
213,215,58,26.0,13.0
214,216,63,40.0,6.0
215,217,99,40.0,29.0
216,218,87,52.0,32.0
217,219,37,18.0,13.0
218,220,46,18.0,7.0
219,221,20,11.0,8.0
220,222,18,5.0,7.0
221,223,201,122.0,1.0
222,224,44,31.0,6.0
223,225,19,8.0,7.0
224,226,1,1.0,1.0
225,227,82,49.0,27.0
