,Region,0,1,2
0,0,12,13,15
1,1,31,53,26
2,2,4,10,3
3,3,25,31,33
4,4,57,27,49
5,5,19,24,21
6,6,27,14,14
7,7,19,39,12
8,8,4,3,3
9,9,24,23,53
10,10,45,46,29
11,11,3,6,2
12,12,9,4,5
13,13,6,8,2
14,14,2,2,0
15,15,16,62,13
16,16,8,14,34
17,17,6,3,11
18,18,3,20,8
19,19,1,1,3
20,20,21,62,51
21,21,3,2,5
22,22,26,30,22
23,23,28,19,26
24,24,31,68,43
25,25,7,12,23
26,26,60,132,106
27,27,5,6,12
28,28,6,15,21
29,29,19,19,3
30,30,5,32,10
31,31,206,32,135
32,32,4,12,13
33,33,3,6,18
34,34,35,19,11
35,35,4,1,9
36,36,31,36,38
37,37,49,20,63
38,38,18,19,9
39,39,33,74,70
40,40,19,13,6
41,41,94,101,51
42,42,74,72,136
43,43,28,117,70
44,44,12,20,16
45,45,19,69,14
46,46,2,18,20
47,47,7,20,15
48,48,5,4,8
49,49,15,45,30
50,50,35,7,34
51,51,5,2,5
52,52,4,4,1
53,53,12,33,11
54,54,15,18,26
55,55,39,130,70
56,56,15,31,115
57,57,14,21,3
58,58,0,0,0
59,59,2,10,11
60,60,33,30,50
61,61,20,19,37
62,62,5,9,7
63,63,17,8,15
64,64,8,6,5
65,65,12,40,55
66,66,13,53,85
67,67,50,23,29
68,68,8,15,14
69,69,5,5,4
70,70,3,1,2
71,71,3,1,1
72,72,39,66,42
73,73,23,40,48
74,74,81,34,29
75,75,2,5,2
76,76,10,17,9
77,77,26,12,27
78,78,123,95,288
79,79,37,41,35
80,80,21,8,7
81,81,25,7,23
82,82,20,1,20
83,83,19,11,26
84,84,18,40,15
85,85,39,68,65
86,86,27,28,16
87,87,12,19,58
88,88,16,16,15
89,89,26,36,25
90,90,4,33,23
91,91,4,1,1
92,92,98,146,97
93,93,26,118,134
94,94,42,4,20
95,95,37,52,40
96,96,12,11,6
97,97,46,8,11
98,98,12,22,34
99,99,0,0,1
100,100,17,17,14
101,101,33,29,45
102,102,23,6,13
103,103,22,42,26
104,104,33,32,40
105,105,26,10,42
106,106,11,6,10
107,107,4,2,3
108,108,14,16,17
109,109,17,18,21
110,110,10,2,7
111,111,12,8,5
112,112,1,10,13
113,113,10,3,3
114,114,26,15,18
115,115,76,44,12
116,116,3,10,12
117,117,31,63,67
118,118,13,9,1
119,119,8,13,15
120,120,3,9,12
121,121,39,66,89
122,122,15,26,24
123,123,3,9,15
124,124,3,4,8
125,125,26,20,10
126,126,18,12,11
127,127,19,15,2
128,128,65,26,39
129,129,41,56,51
130,130,12,19,3
131,131,20,7,14
132,132,17,71,71
133,133,7,16,18
134,134,12,23,17
135,135,15,9,19
136,136,60,26,16
137,137,0,0,0
138,138,12,19,18
139,139,10,2,12
140,140,55,75,64
141,141,4,17,15
142,142,20,12,25
143,143,67,61,29
144,144,36,71,65
145,145,57,37,46
146,146,6,23,29
147,147,17,62,86
148,148,18,17,4
149,149,7,8,13
150,150,16,14,11
151,151,7,6,12
152,152,7,14,4
153,153,24,38,21
154,154,63,57,73
155,155,0,0,0
156,156,6,6,21
157,157,17,6,16
158,158,11,47,25
159,159,4,11,8
160,160,23,8,3
161,161,21,19,20
162,162,10,16,5
163,163,95,80,102
164,164,0,0,0
165,165,8,20,7
166,166,43,15,47
167,167,7,10,4
168,168,32,13,30
169,169,9,14,5
170,170,15,25,19
171,171,36,1,13
172,172,7,6,5
173,173,21,7,6
174,174,23,20,16
175,175,21,17,7
176,176,5,4,2
177,177,13,13,9
178,178,8,3,6
179,179,108,74,52
180,180,14,5,20
181,181,50,67,45
182,182,12,10,10
183,183,8,6,20
184,184,2,6,7
185,185,6,4,0
186,186,1,4,2
187,187,11,5,4
188,188,19,23,3
189,189,2,1,1
190,190,1,2,3
191,191,2,9,5
192,192,10,4,4
193,193,18,64,15
194,194,1,5,1
195,195,11,10,12
196,196,1,4,3
197,197,8,14,8
198,198,2,2,7
199,199,17,7,4
200,200,4,9,8
201,201,85,36,52
202,202,1,7,6
203,203,27,18,19
204,204,48,37,35
205,205,32,63,51
206,206,5,1,4
207,207,16,15,19
208,208,18,21,32
209,209,39,35,12
210,210,55,111,40
211,211,10,33,10
212,212,79,90,13
213,213,7,45,17
214,214,7,37,19
215,215,26,10,7
216,216,16,12,8
217,217,6,14,29
218,218,2,13,16
219,219,27,23,10
220,220,3,9,9
221,221,5,5,10
222,222,19,124,121
223,223,22,16,11
224,224,4,5,7
225,225,1,0,0
226,226,42,47,20
227,227,32,32,33
228,228,17,28,12
229,229,43,7,15
230,230,27,37,42
