,Region,0,1,2
0,0,19,17,17
1,1,34,27,21
2,2,1,9,9
3,3,34,11,10
4,4,9,12,13
5,5,23,15,21
6,6,17,36,15
7,7,19,51,27
8,8,4,2,2
9,9,40,38,14
10,10,42,15,25
11,11,0,1,2
12,12,5,9,5
13,13,11,5,18
14,14,0,1,0
15,15,43,44,54
16,16,36,34,43
17,17,16,5,10
18,18,2,7,6
19,19,4,3,4
20,20,49,32,33
21,21,6,4,3
22,22,21,14,16
23,23,22,24,29
24,24,37,27,38
25,25,21,30,11
26,26,78,43,51
27,27,4,5,8
28,28,14,18,14
29,29,10,19,26
30,30,17,14,18
31,31,104,46,125
32,32,8,4,7
33,33,25,20,7
34,34,6,25,6
35,35,5,16,16
36,36,22,45,9
37,37,13,15,52
38,38,8,17,23
39,39,26,79,54
40,40,15,21,12
41,41,33,22,64
42,42,106,79,21
43,43,105,51,49
44,44,20,6,5
45,45,59,59,101
46,46,24,18,6
47,47,8,27,24
48,48,5,23,12
49,49,13,61,54
50,50,19,23,15
51,51,15,13,10
52,52,6,10,4
53,53,15,29,6
54,54,25,19,2
55,55,30,105,62
56,56,104,90,51
57,57,25,9,4
58,58,0,0,0
59,59,5,5,10
60,60,24,27,5
61,61,24,38,22
62,62,12,16,26
63,63,19,3,1
64,64,11,18,5
65,65,7,22,19
66,66,74,77,62
67,67,44,32,36
68,68,16,3,7
69,69,7,3,2
70,70,1,2,1
71,71,0,2,4
72,72,45,75,24
73,73,9,24,21
74,74,40,39,52
75,75,4,1,4
76,76,15,5,13
77,77,23,18,12
78,78,179,143,86
79,79,8,46,31
80,80,7,22,2
81,81,18,5,19
82,82,16,29,22
83,83,16,8,16
84,84,21,41,13
85,85,113,77,52
86,86,8,33,7
87,87,40,9,19
88,88,20,13,24
89,89,16,19,26
90,90,30,27,36
91,91,1,2,5
92,92,138,119,133
93,93,36,134,39
94,94,13,11,13
95,95,19,13,8
96,96,5,16,13
97,97,61,55,34
98,98,15,9,12
99,99,0,0,0
100,100,6,24,17
101,101,25,42,22
102,102,31,9,2
103,103,49,28,24
104,104,38,24,52
105,105,32,22,70
106,106,11,10,12
107,107,1,2,3
108,108,14,2,8
109,109,10,12,10
110,110,8,7,9
111,111,9,7,5
112,112,6,4,4
113,113,15,6,11
114,114,30,13,22
115,115,35,13,75
116,116,11,10,10
117,117,43,24,47
118,118,6,19,4
119,119,4,7,4
120,120,5,9,9
121,121,59,52,82
122,122,31,53,4
123,123,20,8,10
124,124,1,5,2
125,125,5,18,19
126,126,7,7,5
127,127,13,10,11
128,128,17,25,11
129,129,26,17,42
130,130,20,27,20
131,131,12,27,10
132,132,13,61,85
133,133,6,15,15
134,134,6,7,23
135,135,17,11,19
136,136,11,56,15
137,137,2,1,1
138,138,1,13,2
139,139,9,11,24
140,140,72,21,69
141,141,18,6,23
142,142,10,13,22
143,143,43,83,46
144,144,35,28,55
145,145,57,73,77
146,146,9,7,10
147,147,40,29,19
148,148,12,25,18
149,149,7,7,6
150,150,24,21,15
151,151,5,5,25
152,152,4,28,28
153,153,16,12,39
154,154,40,44,45
155,155,0,1,0
156,156,9,18,18
157,157,12,12,9
158,158,7,19,4
159,159,10,7,7
160,160,16,14,17
161,161,8,7,7
162,162,17,13,18
163,163,29,57,62
164,164,0,0,0
165,165,19,13,11
166,166,4,29,42
167,167,17,3,8
168,168,40,10,21
169,169,4,5,2
170,170,43,60,20
171,171,42,45,26
172,172,5,13,6
173,173,19,18,11
174,174,9,17,32
175,175,30,11,23
176,176,4,11,3
177,177,6,2,15
178,178,9,6,13
179,179,20,108,75
180,180,27,28,27
181,181,92,30,88
182,182,23,13,11
183,183,4,22,20
184,184,3,1,0
185,185,19,6,9
186,186,0,2,2
187,187,2,4,8
188,188,19,7,16
189,189,1,2,3
190,190,1,1,1
191,191,17,20,4
192,192,8,19,4
193,193,34,30,44
194,194,0,0,0
195,195,14,8,3
196,196,3,6,6
197,197,16,14,24
198,198,2,9,3
199,199,5,6,4
200,200,24,6,26
201,201,17,10,56
202,202,8,12,4
203,203,22,16,13
204,204,58,40,65
205,205,27,37,83
206,206,9,2,4
207,207,37,25,37
208,208,9,15,19
209,209,10,20,13
210,210,41,83,16
211,211,14,18,7
212,212,81,65,25
213,213,36,11,46
214,214,22,2,23
215,215,11,21,39
216,216,35,29,28
217,217,11,41,16
218,218,9,25,15
219,219,12,20,13
220,220,9,5,5
221,221,6,11,12
222,222,114,92,79
223,223,7,7,19
224,224,5,3,4
225,225,2,3,2
226,226,43,12,20
227,227,6,19,34
228,228,7,14,6
229,229,17,42,34
230,230,29,25,6
