,Region,American Cuisine,Asian Cuisine,Drinks/Dessert,Latin Cuisine,No Opinion
0,0,0,0,1,0,0
1,0,0,0,0,0,1
2,0,0,0,0,0,1
3,0,1,0,0,0,0
4,0,0,0,0,0,1
5,0,0,0,0,1,0
6,0,0,1,0,0,0
7,0,0,0,0,0,1
8,0,1,0,0,0,0
9,0,1,0,0,0,0
10,0,0,1,0,0,0
11,0,0,1,0,0,0
12,0,1,0,0,0,0
13,0,0,0,0,1,0
14,0,1,0,0,0,0
15,0,0,0,0,0,1
16,0,0,1,0,0,0
17,0,0,0,0,1,0
18,0,0,1,0,0,0
19,0,0,0,1,0,0
20,0,0,0,1,0,0
21,0,0,1,0,0,0
22,0,0,0,0,0,1
23,0,0,1,0,0,0
24,0,0,0,0,0,1
25,0,1,0,0,0,0
26,0,0,0,0,1,0
27,0,0,0,0,0,1
28,0,0,0,0,0,1
29,0,1,0,0,0,0
30,0,0,0,0,0,1
31,0,0,0,0,1,0
32,0,1,0,0,0,0
33,0,0,0,0,0,1
34,0,1,0,0,0,0
35,0,0,0,0,0,1
36,0,0,1,0,0,0
37,0,1,0,0,0,0
38,0,0,1,0,0,0
39,0,1,0,0,0,0
40,0,0,1,0,0,0
41,0,1,0,0,0,0
42,0,0,0,0,1,0
43,0,0,0,0,1,0
44,0,0,0,0,0,1
45,0,0,0,0,0,1
46,0,1,0,0,0,0
47,0,0,0,0,1,0
48,0,0,0,1,0,0
49,0,0,0,0,0,1
50,0,0,0,1,0,0
51,0,1,0,0,0,0
52,0,0,0,0,1,0
53,0,1,0,0,0,0
54,0,0,0,1,0,0
55,0,0,0,0,0,1
56,0,0,0,0,0,1
57,0,0,0,1,0,0
58,0,0,0,0,0,1
59,0,0,0,0,1,0
60,0,0,1,0,0,0
61,0,0,1,0,0,0
62,0,1,0,0,0,0
63,0,0,0,0,0,1
64,0,0,0,0,1,0
65,0,0,1,0,0,0
66,0,0,0,0,1,0
67,0,0,0,0,0,1
68,0,0,0,0,0,1
69,0,0,0,0,0,1
70,0,0,0,1,0,0
71,0,0,0,0,0,1
72,0,0,0,0,0,1
73,0,0,1,0,0,0
74,0,0,1,0,0,0
75,0,0,0,1,0,0
76,0,0,0,0,0,1
77,0,0,0,0,0,1
78,0,0,0,0,1,0
79,0,0,0,0,0,1
80,0,0,0,0,1,0
81,0,0,0,0,1,0
82,0,0,1,0,0,0
83,0,0,0,0,0,1
84,0,0,1,0,0,0
85,0,0,0,1,0,0
86,0,0,0,0,1,0
87,0,0,0,1,0,0
88,0,1,0,0,0,0
89,0,0,0,0,0,1
90,0,1,0,0,0,0
91,0,0,0,0,0,1
92,0,0,0,0,1,0
93,0,1,0,0,0,0
94,0,0,0,1,0,0
