,Region,Department Store,No Opinion,Shoes,Thrift/Vintage
0,0,0,0,1,0
1,0,0,0,0,1
2,0,1,0,0,0
3,0,0,1,0,0
4,0,0,1,0,0
5,0,1,0,0,0
6,0,1,0,0,0
7,0,1,0,0,0
8,0,0,1,0,0
9,0,0,1,0,0
10,0,0,1,0,0
11,0,0,0,0,1
12,0,0,0,1,0
13,0,1,0,0,0
14,0,0,1,0,0
15,0,0,0,1,0
16,0,0,1,0,0
17,0,0,0,1,0
18,0,0,0,1,0
19,0,0,1,0,0
20,0,1,0,0,0
21,0,0,0,1,0
22,0,0,1,0,0
23,0,0,1,0,0
24,0,0,1,0,0
25,0,1,0,0,0
26,0,0,0,0,1
27,0,0,1,0,0
28,0,0,0,1,0
29,0,0,0,1,0
30,0,0,0,0,1
31,0,0,0,1,0
32,0,0,1,0,0
33,0,0,0,1,0
34,0,0,0,1,0
35,0,1,0,0,0
36,0,1,0,0,0
37,0,0,1,0,0
38,0,1,0,0,0
39,0,1,0,0,0
40,0,0,1,0,0
41,0,1,0,0,0
42,0,1,0,0,0
43,0,1,0,0,0
44,0,1,0,0,0
45,0,1,0,0,0
46,0,0,0,1,0
47,0,0,0,1,0
48,0,1,0,0,0
49,0,0,1,0,0
50,0,0,0,1,0
51,0,0,1,0,0
52,0,0,1,0,0
53,0,1,0,0,0
54,0,0,0,0,1
55,0,1,0,0,0
56,0,0,1,0,0
57,0,1,0,0,0
58,0,1,0,0,0
59,0,0,1,0,0
60,0,1,0,0,0
61,0,0,1,0,0
62,0,1,0,0,0
63,0,1,0,0,0
64,0,0,1,0,0
65,0,1,0,0,0
66,0,0,1,0,0
67,0,0,1,0,0
68,0,0,1,0,0
69,0,1,0,0,0
70,0,0,1,0,0
71,0,0,1,0,0
72,0,0,0,1,0
73,0,1,0,0,0
74,0,0,0,0,1
75,0,0,0,1,0
76,0,0,1,0,0
77,0,0,0,1,0
78,0,0,1,0,0
79,0,0,1,0,0
80,0,1,0,0,0
81,0,1,0,0,0
82,0,1,0,0,0
83,0,0,1,0,0
84,0,0,1,0,0
85,0,0,1,0,0
86,0,0,0,1,0
87,0,0,0,1,0
88,0,0,1,0,0
89,0,0,1,0,0
90,0,0,0,1,0
91,0,0,1,0,0
92,0,0,0,1,0
93,0,0,1,0,0
94,0,0,0,1,0
95,0,0,0,1,0
96,0,1,0,0,0
97,0,0,1,0,0
98,0,0,0,0,1
99,0,0,1,0,0
100,0,1,0,0,0
101,0,0,0,1,0
102,0,0,0,1,0
103,0,0,0,0,1
104,0,1,0,0,0
105,0,1,0,0,0
106,0,0,0,0,1
107,0,0,0,1,0
108,0,1,0,0,0
109,0,1,0,0,0
110,0,1,0,0,0
111,0,0,0,0,1
112,0,0,0,1,0
113,0,0,0,0,1
114,0,0,1,0,0
115,0,0,1,0,0
116,0,0,1,0,0
117,0,0,0,1,0
118,0,0,1,0,0
119,0,1,0,0,0
120,0,0,1,0,0
121,0,1,0,0,0
122,0,0,1,0,0
123,0,1,0,0,0
124,0,0,0,1,0
125,0,0,1,0,0
126,0,0,0,1,0
127,0,0,1,0,0
128,0,0,1,0,0
129,0,1,0,0,0
130,0,1,0,0,0
131,0,1,0,0,0
132,0,0,1,0,0
133,0,0,0,1,0
134,0,0,1,0,0
135,0,0,0,1,0
136,0,1,0,0,0
137,0,1,0,0,0
138,0,0,0,1,0
139,0,0,0,1,0
140,0,0,1,0,0
141,0,0,1,0,0
142,0,0,1,0,0
143,0,1,0,0,0
144,0,0,1,0,0
145,0,0,1,0,0
146,1,0,0,0,1
147,1,0,1,0,0
148,1,0,1,0,0
149,1,0,0,1,0
150,1,0,0,0,1
151,1,0,1,0,0
152,1,0,0,1,0
153,1,0,1,0,0
154,1,0,0,0,1
155,1,0,1,0,0
156,1,0,0,0,1
157,1,0,1,0,0
158,1,1,0,0,0
159,1,1,0,0,0
160,1,0,1,0,0
161,1,0,1,0,0
162,1,0,1,0,0
163,1,0,0,1,0
164,1,0,0,1,0
165,1,0,0,1,0
166,1,0,1,0,0
167,1,0,0,0,1
168,1,1,0,0,0
169,1,0,0,1,0
170,1,0,1,0,0
171,1,0,0,0,1
172,1,0,1,0,0
173,1,0,0,1,0
174,1,0,1,0,0
175,1,0,0,1,0
176,1,0,0,1,0
177,1,0,1,0,0
178,1,1,0,0,0
179,1,0,0,1,0
180,1,0,1,0,0
181,1,0,0,0,1
182,1,0,0,0,1
183,1,1,0,0,0
184,1,0,1,0,0
185,1,0,1,0,0
186,1,0,1,0,0
187,1,0,1,0,0
188,1,1,0,0,0
189,1,0,1,0,0
190,1,0,0,0,1
191,1,0,0,0,1
192,1,0,0,1,0
193,1,0,1,0,0
194,1,0,0,1,0
195,1,0,0,1,0
196,1,0,1,0,0
197,1,0,0,0,1
198,1,0,0,0,1
199,1,1,0,0,0
200,1,0,0,1,0
201,1,0,0,1,0
202,1,0,1,0,0
203,1,0,1,0,0
204,1,1,0,0,0
205,1,0,0,0,1
206,1,0,1,0,0
207,1,1,0,0,0
208,1,1,0,0,0
209,1,0,0,0,1
210,1,0,1,0,0
211,1,0,0,0,1
212,1,1,0,0,0
213,1,0,1,0,0
214,1,1,0,0,0
215,1,0,0,1,0
216,1,0,0,0,1
217,1,0,0,1,0
218,1,0,1,0,0
219,1,0,1,0,0
220,1,0,1,0,0
221,1,0,1,0,0
222,1,0,0,0,1
223,1,0,0,0,1
224,1,1,0,0,0
225,1,0,0,0,1
226,1,1,0,0,0
227,1,0,1,0,0
228,1,0,0,0,1
229,1,0,0,0,1
230,1,0,0,1,0
231,1,0,1,0,0
232,1,0,1,0,0
233,1,0,0,0,1
234,1,1,0,0,0
235,1,0,1,0,0
236,1,0,1,0,0
237,1,0,1,0,0
238,1,0,1,0,0
239,1,0,1,0,0
240,1,0,0,0,1
241,1,0,0,0,1
242,1,0,0,0,1
243,1,1,0,0,0
244,1,1,0,0,0
245,1,0,1,0,0
246,1,0,0,0,1
247,1,0,1,0,0
248,1,0,0,0,1
249,1,1,0,0,0
250,1,0,0,1,0
251,1,0,0,1,0
252,1,0,1,0,0
253,1,0,0,0,1
254,1,0,1,0,0
255,1,0,0,1,0
256,1,0,0,0,1
257,1,0,0,1,0
258,1,0,1,0,0
259,1,1,0,0,0
260,1,0,1,0,0
261,1,0,1,0,0
262,1,0,0,1,0
263,1,0,0,0,1
264,1,0,1,0,0
265,1,1,0,0,0
266,1,0,1,0,0
267,1,1,0,0,0
268,1,0,0,0,1
269,1,0,0,0,1
270,1,0,1,0,0
271,1,0,0,1,0
272,1,0,0,0,1
273,1,0,0,1,0
274,1,0,0,1,0
275,1,0,0,0,1
276,1,1,0,0,0
277,1,1,0,0,0
278,1,0,0,1,0
279,1,0,1,0,0
280,1,1,0,0,0
281,1,0,0,0,1
282,1,0,1,0,0
283,1,0,1,0,0
284,1,0,0,0,1
285,1,0,0,0,1
286,1,0,0,0,1
287,1,0,0,0,1
288,1,0,0,0,1
289,1,0,0,0,1
290,1,1,0,0,0
291,1,0,1,0,0
292,1,0,0,1,0
293,1,0,0,0,1
294,1,0,0,0,1
295,1,0,0,0,1
296,1,0,1,0,0
297,1,0,0,1,0
298,1,0,1,0,0
299,1,1,0,0,0
300,1,0,0,1,0
301,1,0,0,1,0
302,1,0,0,0,1
303,1,0,0,0,1
304,1,1,0,0,0
305,1,0,1,0,0
306,1,0,1,0,0
307,1,0,0,0,1
308,1,1,0,0,0
309,1,0,0,0,1
310,1,0,1,0,0
311,1,1,0,0,0
312,1,0,1,0,0
313,1,0,0,0,1
314,1,0,0,0,1
315,1,0,0,1,0
316,1,0,0,0,1
317,1,0,1,0,0
318,1,0,1,0,0
319,1,0,0,1,0
320,1,0,0,1,0
321,1,0,1,0,0
322,1,0,1,0,0
323,1,0,1,0,0
324,1,0,0,1,0
325,1,1,0,0,0
326,1,0,0,0,1
327,1,0,0,0,1
328,1,0,1,0,0
329,1,0,0,0,1
330,1,0,0,0,1
331,1,0,1,0,0
332,1,0,1,0,0
333,1,1,0,0,0
334,1,0,0,1,0
335,1,0,0,1,0
336,1,0,1,0,0
337,1,0,0,1,0
338,1,0,0,0,1
339,1,0,0,0,1
340,1,0,0,0,1
341,1,0,0,1,0
342,1,0,1,0,0
343,1,0,1,0,0
344,1,0,0,1,0
345,1,0,0,1,0
346,1,0,0,1,0
347,1,0,0,1,0
348,1,0,0,0,1
349,1,0,1,0,0
350,1,0,1,0,0
351,1,0,0,1,0
352,1,0,1,0,0
353,1,0,0,1,0
354,1,0,0,1,0
355,1,0,1,0,0
356,1,1,0,0,0
357,1,0,0,0,1
358,1,0,0,1,0
359,1,1,0,0,0
360,1,0,1,0,0
361,1,0,0,1,0
362,1,1,0,0,0
363,1,0,0,0,1
364,1,0,0,0,1
365,1,0,1,0,0
366,1,0,1,0,0
367,1,0,0,0,1
368,1,0,1,0,0
369,1,0,1,0,0
370,1,0,1,0,0
371,1,0,0,0,1
372,1,0,0,1,0
373,1,1,0,0,0
374,1,0,0,0,1
375,1,1,0,0,0
376,1,0,1,0,0
377,1,0,1,0,0
378,1,0,0,1,0
379,1,0,0,0,1
380,1,1,0,0,0
381,1,0,0,0,1
382,1,0,0,1,0
383,1,0,1,0,0
384,1,1,0,0,0
385,1,0,1,0,0
386,1,0,1,0,0
387,1,0,1,0,0
388,1,1,0,0,0
389,1,0,1,0,0
390,1,0,0,0,1
391,1,0,0,0,1
392,1,1,0,0,0
393,1,0,0,0,1
394,1,0,0,0,1
395,1,0,0,0,1
396,1,0,1,0,0
397,1,0,0,1,0
398,1,0,1,0,0
399,1,0,1,0,0
400,1,0,1,0,0
401,1,0,1,0,0
402,1,0,1,0,0
403,1,0,0,0,1
404,1,0,1,0,0
405,1,1,0,0,0
406,1,0,0,0,1
407,1,0,1,0,0
408,1,0,1,0,0
409,1,0,0,0,1
410,1,0,1,0,0
411,1,1,0,0,0
412,1,0,0,0,1
413,1,0,0,0,1
414,1,1,0,0,0
415,1,0,0,0,1
416,1,0,1,0,0
417,1,0,1,0,0
418,1,0,1,0,0
419,1,0,0,0,1
420,1,0,0,0,1
421,1,0,0,1,0
422,1,0,0,1,0
423,1,0,1,0,0
424,1,1,0,0,0
425,1,0,0,0,1
426,1,1,0,0,0
427,1,1,0,0,0
428,1,0,1,0,0
429,1,0,0,0,1
430,1,0,1,0,0
431,1,0,0,0,1
432,1,0,0,0,1
433,1,0,1,0,0
434,1,0,0,0,1
435,1,0,0,0,1
436,1,0,0,0,1
437,1,0,1,0,0
438,1,0,0,1,0
439,1,0,1,0,0
440,1,0,1,0,0
441,1,0,0,0,1
442,1,0,0,0,1
443,1,0,1,0,0
444,1,0,1,0,0
445,1,0,1,0,0
446,1,0,0,1,0
447,1,1,0,0,0
448,1,0,0,1,0
449,1,0,0,0,1
450,1,1,0,0,0
451,1,1,0,0,0
452,1,0,1,0,0
453,1,0,0,1,0
454,1,0,1,0,0
455,1,0,0,1,0
456,1,0,0,1,0
457,1,0,1,0,0
458,1,0,1,0,0
459,1,0,0,0,1
460,1,0,1,0,0
461,1,0,0,0,1
462,1,0,1,0,0
463,1,1,0,0,0
464,1,1,0,0,0
465,1,1,0,0,0
466,1,0,0,0,1
467,1,0,0,0,1
468,1,0,1,0,0
469,1,0,0,0,1
470,1,0,1,0,0
471,1,0,0,1,0
472,1,0,0,1,0
473,1,0,0,0,1
