,Region,Count,Boutique,Thrift Store Chains,Vintage
0,0,11,1.0,4.0,2.0
1,1,121,29.0,44.0,5.0
2,2,19,1.0,11.0,1.0
3,3,64,14.0,30.0,8.0
4,4,65,11.0,36.0,6.0
5,5,68,20.0,37.0,2.0
6,6,69,11.0,54.0,1.0
7,7,70,7.0,35.0,16.0
8,8,8,1.0,3.0,1.0
9,9,51,8.0,40.0,12.0
10,10,158,19.0,74.0,26.0
11,11,5,1.0,4.0,1.0
12,12,8,1.0,5.0,1.0
13,13,15,2.0,5.0,3.0
14,14,4,1.0,2.0,1.0
15,15,85,18.0,56.0,8.0
16,16,56,11.0,25.0,6.0
17,17,13,3.0,9.0,3.0
18,18,19,1.0,12.0,2.0
19,19,10,1.0,7.0,3.0
20,20,107,29.0,62.0,7.0
21,21,6,2.0,4.0,2.0
22,22,40,11.0,13.0,10.0
23,23,33,1.0,17.0,8.0
24,24,81,8.0,65.0,4.0
25,25,53,2.0,34.0,3.0
26,26,273,6.0,123.0,26.0
27,27,29,5.0,22.0,7.0
28,28,59,12.0,43.0,1.0
29,29,43,8.0,22.0,6.0
30,30,44,1.0,16.0,9.0
31,31,339,86.0,157.0,17.0
32,32,24,7.0,18.0,6.0
33,33,49,11.0,23.0,1.0
34,34,80,7.0,55.0,10.0
35,35,30,4.0,20.0,7.0
36,36,79,7.0,62.0,7.0
37,37,68,11.0,39.0,9.0
38,38,30,4.0,12.0,7.0
39,39,120,20.0,41.0,19.0
40,40,18,3.0,9.0,1.0
41,41,106,28.0,36.0,7.0
42,42,230,61.0,163.0,38.0
43,43,241,11.0,165.0,11.0
44,44,42,3.0,29.0,1.0
45,45,149,43.0,71.0,12.0
46,46,37,4.0,16.0,3.0
47,47,48,2.0,23.0,1.0
48,48,20,5.0,16.0,3.0
49,49,93,27.0,41.0,5.0
50,50,53,13.0,22.0,11.0
51,51,30,6.0,17.0,8.0
52,52,25,2.0,19.0,4.0
53,53,59,6.0,36.0,9.0
54,54,39,1.0,24.0,6.0
55,55,199,58.0,142.0,16.0
56,56,191,2.0,107.0,31.0
57,57,26,1.0,9.0,1.0
58,59,20,3.0,7.0,1.0
59,60,48,14.0,31.0,10.0
60,61,47,10.0,29.0,10.0
61,62,21,3.0,12.0,3.0
62,63,17,1.0,6.0,4.0
63,64,33,5.0,19.0,7.0
64,65,120,30.0,78.0,20.0
65,66,145,41.0,101.0,32.0
66,67,84,23.0,51.0,10.0
67,68,21,2.0,11.0,4.0
68,69,5,1.0,3.0,1.0
69,70,2,1.0,1.0,1.0
70,71,12,1.0,4.0,1.0
71,72,120,3.0,45.0,14.0
72,73,75,18.0,26.0,18.0
73,74,122,10.0,77.0,18.0
74,75,17,5.0,7.0,4.0
75,76,38,6.0,21.0,2.0
76,77,43,7.0,26.0,6.0
77,78,337,80.0,224.0,34.0
78,79,76,17.0,40.0,19.0
79,80,42,10.0,32.0,9.0
80,81,44,4.0,24.0,3.0
81,82,39,7.0,15.0,6.0
82,83,53,3.0,26.0,8.0
83,84,90,13.0,55.0,9.0
84,85,157,12.0,99.0,20.0
85,86,52,8.0,16.0,1.0
86,87,116,11.0,81.0,20.0
87,88,48,11.0,38.0,11.0
88,89,83,22.0,45.0,17.0
89,90,86,10.0,39.0,22.0
90,91,9,2.0,6.0,1.0
91,92,164,40.0,74.0,28.0
92,93,207,35.0,118.0,19.0
93,94,60,9.0,22.0,3.0
94,95,66,17.0,36.0,10.0
95,96,26,1.0,11.0,2.0
96,97,68,13.0,45.0,1.0
97,98,37,11.0,26.0,10.0
98,100,38,9.0,27.0,8.0
99,101,101,13.0,80.0,24.0
100,102,32,3.0,16.0,3.0
101,103,79,23.0,51.0,3.0
102,104,76,19.0,35.0,3.0
103,105,166,46.0,55.0,40.0
104,106,20,1.0,10.0,2.0
105,107,4,2.0,3.0,1.0
106,108,34,11.0,20.0,2.0
107,109,30,7.0,15.0,5.0
108,110,12,3.0,9.0,1.0
109,111,20,3.0,9.0,2.0
110,112,10,2.0,5.0,3.0
111,113,16,1.0,11.0,2.0
