,Latitude,Longtitude
0,-76.611043,39.325996
1,-76.681506,39.290093
2,-76.56894,39.333281
3,-76.682019,39.349097
4,-76.550128,39.308516
5,-76.671846,39.330191
6,-76.566304,39.293781
7,-76.612162,39.314755
8,-76.628013,39.285269
9,-76.54141,39.289092
10,-76.699261,39.278513
11,-76.566592,39.320892
12,-76.568631,39.330744
13,-76.621633,39.367897
14,-76.607643,39.361214
15,-76.579099,39.308979
16,-76.606143,39.324016
17,-76.568604,39.339695
18,-76.579996,39.303885
19,-76.62533,39.350569
20,-76.625552,39.30707
21,-76.650313,39.287112
22,-76.564351,39.284469
23,-76.654192,39.301915
24,-76.587595,39.308941
25,-76.537445,39.274249
26,-76.602562,39.233837
27,-76.537445,39.274249
28,-76.586794,39.291949
29,-76.680264,39.33132
30,-76.600024,39.357456
31,-76.578539,39.281881
32,-76.587475,39.296659
33,-76.665617,39.286042
34,-76.648867,39.282352
35,-76.612848,39.369298
36,-76.536938,39.346895
37,-76.534474,39.327614
38,-76.687051,39.326732
39,-76.66858,39.341438
40,-76.617033,39.310713
41,-76.616557,39.323939
42,-76.625705,39.251908
43,-76.678736,39.366253
44,-76.6039,39.363584
45,-76.594973,39.322928
46,-76.683393,39.32349
47,-76.657565,39.30684
48,-76.645199,39.352
49,-76.59049,39.225132
50,-76.662888,39.347197
51,-76.593944,39.315396
52,-76.706139,39.316288
53,-76.679818,39.337586
54,-76.686054,39.331964
55,-76.618851,39.286033
56,-76.614417,39.290704
57,-76.638021,39.308995
58,-76.64298,39.321941
59,-76.595352,39.296179
60,-76.669171,39.332854
61,-76.60235,39.314746
62,-76.650301,39.306834
63,-76.531232,39.290263
64,-76.676534,39.296437
65,-76.676534,39.296437
66,-76.59874,39.3349
67,-76.572054,39.296926
68,-76.657316,39.296873
69,-76.627999,39.346636
70,-76.603051,39.366093
71,-76.679768,39.308201
72,-76.706473,39.364254
73,-76.611541,39.278606
74,-76.594064,39.281958
75,-76.695895,39.323408
76,-76.67814,39.324192
77,-76.576696,39.315494
78,-76.545661,39.32802
79,-76.643168,39.290548
80,-76.667507,39.297995
81,-76.698099,39.304225
82,-76.679128,39.318089
83,-76.596631,39.300537
84,-76.59838,39.367251
85,-76.548394,39.349089
86,-76.534864,39.280369
87,-76.553201,39.285407
88,-76.611976,39.309149
89,-76.703214,39.340125
90,-76.666531,39.277984
91,-76.563584,39.360437
92,-76.632521,39.329101
93,-76.670311,39.318639
94,-76.640803,39.295629
95,-76.610941,39.32101
96,-76.628269,39.296464
97,-76.568474,39.288176
98,-76.590447,39.34126
99,-76.637653,39.340394
100,-76.632972,39.287414
101,-76.618541,39.359162
102,-76.699931,39.330585
103,-76.589922,39.368385
104,-76.606363,39.282931
105,-76.686402,39.278578
106,-76.623362,39.329987
107,-76.607004,39.303721
108,-76.604172,39.290784
109,-76.601244,39.348841
110,-76.613321,39.34617
